id,title,doctor_id,address,district,description,service,room_type,screen,professional,rooms,is_published
1,陳大明內科診所,1,台北市信義區忠孝東路一段100號,信義區,專業內科診所，提供慢性病管理、健康檢查等服務。環境舒適，設備齊全。,5,診療室,3,2,3,True
2,林小美兒科診所,2,台北市大安區仁愛路三段200號,大安區,專業兒科診所，專注兒童健康發展，提供疫苗接種、發展評估等服務。,4,兒童診間,2,1,2,True
3,王建國骨科中心,3,新北市板橋區文化路一段300號,板橋區,專業骨科治療中心，擁有先進的檢查設備和手術設施。,8,手術室,5,3,5,True
4,張美麗眼科診所,4,台中市西區公益路二段150號,西區,專業眼科診所，引進最新雷射設備，提供近視矯正、白內障手術等服務。,6,檢查室,4,2,4,True
5,劉德華家庭醫學診所,5,高雄市前金區中山二路500號,前金區,全方位家庭醫學診所，提供家庭成員從兒童到長者的健康管理服務。,7,家庭診間,3,2,3,True
6,黃志明牙醫診所,6,台北市中山區南京東路二段180號,中山區,專業牙科診所，提供隱形矯正、植牙、美白等全方位牙科服務。,5,牙科診間,3,1,3,True
7,吳曉芳婦產科診所,7,新北市中和區景平路250號,中和區,專業婦產科診所，提供產前檢查、婦科疾病治療等服務，環境隱密溫馨。,4,產檢室,2,1,2,True
8,鄭成功復健中心,8,桃園市中壢區環中東路350號,中壢區,專業復健治療中心，擁有物理治療、職能治療等完整復健設施。,9,復健室,6,4,6,True
9,陳大明第二診所,1,新北市新店區北新路三段400號,新店區,陳醫師的第二服務據點，提供更便捷的醫療服務。,4,診療室,2,1,2,True
10,林小美兒童發展中心,2,台北市內湖區瑞光路300號,內湖區,專注於兒童發展評估與早期療育的專業中心。,6,評估室,3,2,3,True